player,year,round,elo,elo_new
h keiser,1948,r1r3,1555.3629529277418,1573.7938853474416
b locke,1948,r1r3,1548.6497100425152,1572.689336125415
d metz,1948,r1r3,1544.7138957943598,1563.144591016642
j bulla,1948,r1r3,1512.7667276956226,1519.9790330556682
e harrison,1948,r1r3,1503.7367119406094,1508.1443991388148
s riegel,1948,r1r3,1536.8422672980494,1555.272788098793
a smith,1948,r1r3,1519.4799689332306,1532.3012643672007
s snead,1948,r1r3,1500.9592849511569,1510.9757552741676
j demaret,1948,r1r3,1523.4157831813857,1527.8238998465822
e dudley,1948,r1r3,1507.6725261887648,1509.2758772239972
v ghezzi,1948,r1r3,1498.1818585047777,1508.1982686856104
f haas jr,1948,r1r3,1490.3102300084672,1486.3043618407876
b hamilton,1948,r1r3,1534.0648392132737,1546.8864552949576
a bell,1948,r1r3,1536.8422672980494,1552.468366418847
g sarazen,1948,r1r3,1472.9479359883737,1474.5505389358502
h barron,1948,r1r3,1503.7367119406094,1513.7532424987069
h cotton,1948,r1r3,1530.1290249651183,1542.9505542599857
h picard,1948,r1r3,1519.4799689332306,1532.3012643672007
j palmer,1948,r1r3,1498.1818585047777,1499.7850036457721
e vines,1948,r1r3,1495.4044325984441,1497.0075176899543
m ward,1948,r1r3,1504.8950991993122,1503.6939681875017
l worsham,1948,r1r3,1489.1518422066913,1493.5592141317538
d shute,1948,r1r3,1508.8309134474673,1513.2387113676705
h mcspaden,1948,r1r3,1469.0121217402186,1459.3969540796613
h smith,1948,r1r3,1466.2346969049802,1459.4238918354877
s alexander,1948,r1r3,1476.883750236529,1470.0731722146736
r guldahl,1948,r1r3,1478.5027872640017,1468.8878221984994
k laffoon,1948,r1r3,1500.9592849511569,1499.7580685543835
j mchale jr,1948,r1r3,1466.2346969049802,1456.6194701555414
f torza,1948,r1r3,1498.1818585047777,1499.7850036457721
r chapman,1948,r1r3,1497.0234707030017,1490.2133257479188
c harper,1948,r1r3,1475.725361357668,1463.3059152133262
l little jr,1948,r1r3,1503.7367119406094,1499.7311340989766
b burke,1948,r1r3,1490.3102300084672,1486.3043618407876
l gibson,1948,r1r3,1514.3857679724974,1504.7715785857922
c wood,1948,r1r3,1449.3330504994424,1422.89093603118
t penna,1948,r1r3,1457.2046789957528,1441.9804173981877
s byrd,1948,r1r3,1394.4687594702295,1368.0255065565705
j farrell,1948,r1r3,1481.2802137103808,1460.4476214151784
b nary,1948,r1r3,1485.216027958536,1444.7525683620274
r jones jr,1948,r1r3,1456.046290116892,1423.995473943836
a kammer,1948,r1r3,1458.3630684086697,1443.1388313225145
e ward jr,1948,r1r3,1446.5556256642042,1411.7001877023065
b rosburg,1948,r1r3,1424.0991301192844,1380.8299577416133
j selby,1948,r1r3,1422.480097340699,1376.4064696643022
g kunes,1948,r1r3,1497.0234707030017,1493.0177474278648
g hamer,1948,r1r3,1457.2046789957528,1439.1759957182417
j kirkwood,1948,r1r3,1450.4914399123593,1415.6360848100621
c harmon,1948,r1r4,1606.9054852143063,1651.3986385192288
c middlecoff,1948,r1r4,1546.3503066916815,1579.7604535249634
c harbert,1948,r1r4,1590.6473464681876,1617.409609112229
j ferrier,1948,r1r4,1569.884914445469,1594.4303682989325
l mangrum,1948,r1r4,1583.3117007328365,1607.8574750475768
e furgol,1948,r1r4,1582.2071503872796,1604.5365860357042
b hogan,1948,r1r4,1577.729787623157,1600.0591162045964
b nelson,1948,r1r4,1564.8175328211714,1584.9302419399305
h todd,1948,r1r4,1569.370385039375,1589.483202238245
h keiser,1948,r1r4,1573.7938853474416,1591.6904956117262
b locke,1948,r1r4,1572.689336125415,1590.5859200773343
d metz,1948,r1r4,1563.144591016642,1581.040948280034
j bulla,1948,r1r4,1519.9790330556682,1533.4417558049329
e harrison,1948,r1r4,1508.1443991388148,1521.606849193433
s riegel,1948,r1r4,1555.272788098793,1568.736334902112
a smith,1948,r1r4,1532.3012643672007,1543.5479607575344
s snead,1948,r1r4,1510.9757552741676,1522.2219581941506
j demaret,1948,r1r4,1527.8238998465822,1536.854179931124
e dudley,1948,r1r4,1509.2758772239972,1518.3057288498644
v ghezzi,1948,r1r4,1508.1982686856104,1517.228095554772
f haas jr,1948,r1r4,1486.3043618407876,1495.3336889222514
b hamilton,1948,r1r4,1546.8864552949576,1555.9171803850172
a bell,1948,r1r4,1552.468366418847,1559.2829105096475
g sarazen,1948,r1r4,1474.5505389358502,1481.3632879833654
h barron,1948,r1r4,1513.7532424987069,1518.3505727231072
h cotton,1948,r1r4,1542.9505542599857,1547.548562655081
